"recordID","name","site","YEAR"
23,"LikensG","HBR",2015
23,"PorterJ","VCR",2015
23,"BurnsE","CAP",2015
23,"VardonM",NA,2015
23,"TennantP",NA,2015
23,"DickmanC",NA,2015
23,"GreenP",NA,2015
23,"KeithD",NA,2015
23,"MetcalfeD",NA,2015
23,"Russell-SmithJ",NA,2015
23,"WardleG",NA,2015
24,"CecalaK","CWT",2015
24,"MaerzJ","CWT",2015
25,"WilcoxK","KNZ",2015
25,"WilcoxK","SEV",2015
25,"Von FischerJ","SGS",2015
25,"MuschaJ",NA,2015
25,"PetersenM",NA,2015
25,"KnappA","KNZ",2015
25,"KnappA","SGS",2015
26,"SafakI","VCR",2015
26,"WibergP","VCR",2015
26,"RichardsonD","NES",2015
26,"RichardsonD","VCR",2015
26,"KurumM",NA,2015
27,"PorterJ","VCR",2015
27,"DueserR","VCR",2015
27,"MoncriefN","VCR",2015
28,"LugomelaR",NA,2015
28,"Sj{\""o}lingS",NA,2015
29,"KraseskiK","CWT",2015
30,"BuilM",NA,2015
30,"Di LorenzoE","CCE",2015
31,"LawrenceG",NA,2015
31,"HazlettP",NA,2015
31,"FernandezI","HBR",2015
31,"OuimetR",NA,2015
31,"BaileyS","HBR",2015
31,"ShrotleW",NA,2015
31,"SmithK","CAP",2015
31,"SmithK","LUQ",2015
31,"SmithK","CCE",2015
31,"AntidormiM",NA,2015
32,"GoerickeS",NA,2015
32,"GrundleD",NA,2015
33,"MulukutlaG",NA,2015
33,"GodboisB",NA,2015
33,"FreyS","AND",2015
33,"FreyS","HFR",2015
34,"NetburnA","CCE",2015
34,"KoslowJ",NA,2015
35,"DavenportJ",NA,2015
35,"LoweW","HBR",2015
36,"DucklowH","PAL",2015
36,"DoneyS","PAL",2015
36,"SailleyS","PAL",2015
37,"JerathM",NA,2015
37,"BhatM","FCE",2015
37,"Rivera-MonroyV","FCE",2015
37,"Rivera-MonroyV","FCE  ",2015
37,"Casta\&ntilde;eda-MoyaE",NA,2015
37,"SimardM","FCE",2015
37,"TwilleyR","FCE",2015
38,"SwintonS","KBS",2015
38,"Jolejole-ForemanC",NA,2015
38,"LupiF","KBS",2015
38,"MaS","SBC",2015
38,"MaS","KBS",2015
38,"ZhangW","KBS",2015
38,"ChenH","SBC",2015
38,"ChenH","AND",2015
39,"KavanaughM","PAL",2015
39,"AbdalaF",NA,2015
39,"DucklowH","PAL",2015
39,"GloverD",NA,2015
39,"FraserW","PAL",2015
39,"MartinsonD","PAL",2015
39,"StammerjohnS","PAL",2015
39,"SchofieldO","PAL",2015
39,"DoneyS","PAL",2015
40,"LovettG","HBR",2015
40,"ArthurM",NA,2015
40,"CrowleyK",NA,2015
41,"GottshallC",NA,2015
43,"CaputoJ",NA,2015
43,"BeierC","BNZ",2015
43,"GroffmanP","HBR",2015
43,"GroffmanP","BES",2015
43,"BurnsD",NA,2015
43,"BeallF",NA,2015
43,"HazlettP",NA,2015
43,"YorksT",NA,2015
44,"BriggsA",NA,2015
45,"EvensenN","MCR",2015
45,"EdmundsP","MCR",2015
45,"SakaiK",NA,2015
46,"RivestE","MCR",2015
46,"HofmannG","SBC",2015
46,"HofmannG","MCR",2015
47,"MurphyA",NA,2015
47,"AndersonI","VCR",2015
47,"AndersonI","VCR",2015
48,"BrzezinskiM","SBC",2015
48,"StukelM","CCE",2015
48,"StukelM","PAL",2015
49,"LeeM","PIE",2015
49,"KahruM","CCE",2015
50,"JonssonB",NA,2015
50,"DoneyS","PAL",2015
50,"DunneJ",NA,2015
50,"BenderM",NA,2015
51,"GillinC",NA,2015
51,"BaileyS","HBR",2015
51,"McGuireK","HBR",2015
51,"McGuireK","LUQ",2015
51,"PrisleyS",NA,2015
52,"KaiserS",NA,2015
52,"SillettT",NA,2015
52,"RiskB",NA,2015
52,"WebsterM",NA,2015
53,"RosemondA","CWT",2015
53,"BensteadJ",NA,2015
53,"BumpersP",NA,2015
53,"GulisV",NA,2015
53,"KominoskiJ","FCE",2015
53,"ManningD",NA,2015
53,"SuberkroppK",NA,2015
53,"WallaceB","CWT",2015
54,"SwintonS","KBS",2015
54,"RectorN",NA,2015
54,"RobertsonG","KBS",2015
54,"Jolejole-ForemanC",NA,2015
54,"LupiF","KBS",2015
55,"GannonJ",NA,2015
55,"BaileyS","HBR",2015
55,"McGuireK","HBR",2015
55,"McGuireK","LUQ",2015
55,"ShanleyJ","LUQ",2015
56,"RichardsonJ",NA,2015
56,"DonaldsonE",NA,2015
56,"KasteJ",NA,2015
56,"FriedlandA",NA,2015
57,"ElliottJ","SEV",2015
57,"MiniatF",NA,2015
57,"PedersonN","HFR",2015
57,"LaseterH",NA,2015
58,"Randall-GoodwinE","PAL",2015
58,"GavahanK",NA,2015
58,"AlderkampA",NA,2015
58,"DucklowH","PAL",2015
58,"RobertsonR",NA,2015
58,"StammerjohnS","PAL",2015
58,"MeredithM","PAL",2015
58,"JenkinsA",NA,2015
58,"YagerP",NA,2015
58,"SherrellR","PAL",2015
58,"AbrahamsenE",NA,2015
58,"GuerreroR",NA,2015
58,"YuanX",NA,2015
58,"MortlockR",NA,2015
59,"HostetlerJ",NA,2015
59,"SillettT",NA,2015
59,"MarraP",NA,2015
60,"ElliottK","CWT",2015
60,"VoseJ","CWT",2015
60,"KnoeppJ","CWT",2015
60,"ClintonB","CWT",2015
60,"KloeppelB","CWT",2015
61,"WalkerJ","NTL",2015
61,"WalkerJ","SEV",2015
61,"WalkerJ","CAP",2015
62,"DupontJ",NA,2015
